CaptureDate,Aerolinea,Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo
2023-04-18,Latam,2023-04-23,SMR,MDE,20:35:00,21:51:00,993760,Directo
2023-04-18,Latam,2023-04-23,SMR,MDE,07:18:00,10:44:00,214790,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,07:18:00,11:11:00,214790,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,07:18:00,12:56:00,214790,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,07:43:00,11:11:00,227280,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,07:43:00,12:56:00,257030,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,07:43:00,13:55:00,227280,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,11:26:00,15:31:00,556790,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,11:26:00,17:10:00,697690,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,11:26:00,17:56:00,697690,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,13:57:00,17:55:00,697690,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,13:57:00,21:02:00,556790,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,14:40:00,17:56:00,993760,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,14:40:00,19:46:00,993760,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,14:40:00,20:56:00,993760,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,18:05:00,22:01:00,697690,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,18:05:00,23:01:00,697690,1_parada
2023-04-18,Latam,2023-04-23,SMR,MDE,13:57:00,19:46:00,1960880,2_paradas
2023-04-18,Latam,2023-04-23,SMR,MDE,18:05:00,23:19:00,1744530,2_paradas
2023-04-18,Latam,2023-04-19,BOG,MDE,05:10:00,06:09:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,05:14:00,06:13:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,06:00:00,06:59:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,07:00:00,07:59:00,283740,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,08:23:00,09:22:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,08:59:00,09:58:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,09:59:00,10:55:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,12:59:00,13:55:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,14:35:00,15:31:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,15:00:00,15:56:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,15:59:00,16:55:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,16:45:00,17:41:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,17:30:00,18:26:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,18:44:00,19:40:00,556370,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,20:30:00,21:26:00,346570,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,21:00:00,21:56:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,22:21:00,23:17:00,257560,Directo
2023-04-18,Latam,2023-04-19,BOG,MDE,07:14:00,11:04:00,419160,1_parada
2023-04-18,Latam,2023-04-19,BOG,MDE,11:56:00,15:10:00,445580,1_parada
2023-04-18,Latam,2023-04-19,BOG,MDE,18:55:00,21:14:00,446180,1_parada
2023-04-18,Latam,2023-04-21,BOG,MDE,05:03:00,06:02:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,06:17:00,07:16:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,06:45:00,07:44:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,08:03:00,09:02:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,09:15:00,10:14:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,10:00:00,10:56:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,10:30:00,11:26:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,11:30:00,12:26:00,257560,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,13:29:00,14:25:00,283740,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,15:00:00,15:56:00,420830,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,15:30:00,16:26:00,346570,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,16:15:00,17:11:00,556370,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,18:10:00,19:06:00,556370,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,19:05:00,20:01:00,556370,Directo
2023-04-18,Latam,2023-04-21,BOG,MDE,19:59:00,20:55:00,692750,Directo
