Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo
2023-01-23,CLO,BOG,8:07 p. m.,9:03 p. m.,"266.130,00",Directo
2023-01-23,CLO,BOG,9:19 p. m.,10:15 p. m.,"266.130,00",Directo
2023-01-24,CLO,BOG,5:16 a. m.,6:15 a. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,5:45 a. m.,6:44 a. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,7:45 a. m.,8:44 a. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,9:20 a. m.,10:19 a. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,10:31 a. m.,11:27 a. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,12:34 p. m.,1:30 p. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,1:30 p. m.,2:26 p. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,5:00 p. m.,5:56 p. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,6:59 p. m.,7:55 p. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,8:12 p. m.,9:08 p. m.,"223.290,00",Directo
2023-01-24,CLO,BOG,8:11 a. m.,10:18 a. m.,"593.140,00",1 parada
2023-01-24,CLO,BOG,8:11 a. m.,12:21 p. m.,"839.120,00",1 parada
2023-01-24,CLO,BOG,11:53 a. m.,4:52 p. m.,"294.570,00",1 parada
2023-01-24,CLO,BOG,3:40 p. m.,7:00 p. m.,"294.570,00",1 parada
2023-01-24,CLO,BOG,3:40 p. m.,9:01 p. m.,"465.340,00",1 parada
2023-01-24,CLO,BOG,7:40 p. m.,11:30 p. m.,"294.570,00",1 parada
2023-01-25,CLO,BOG,5:30 a. m.,6:29 a. m.,"223.290,00",Directo
2023-01-25,CLO,BOG,6:15 a. m.,7:14 a. m.,"223.290,00",Directo
2023-01-25,CLO,BOG,7:06 a. m.,8:05 a. m.,"223.290,00",Directo
2023-01-25,CLO,BOG,8:00 a. m.,8:59 a. m.,"223.290,00",Directo
2023-01-25,CLO,BOG,11:09 a. m.,12:05 p. m.,"223.290,00",Directo
