Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo,CaptureDate,Aerolinea
2023-04-19,BOG,MDE,5:10 a. m.,6:09 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,5:14 a. m.,6:13 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,6:00 a. m.,6:59 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,7:00 a. m.,7:59 a. m.,"283.740,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,8:23 a. m.,9:22 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,8:59 a. m.,9:58 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,9:59 a. m.,10:55 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,12:59 p. m.,1:55 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,2:35 p. m.,3:31 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,3:00 p. m.,3:56 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,3:59 p. m.,4:55 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,4:45 p. m.,5:41 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,5:30 p. m.,6:26 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,6:44 p. m.,7:40 p. m.,"556.370,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,8:30 p. m.,9:26 p. m.,"346.570,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,9:00 p. m.,9:56 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,10:21 p. m.,11:17 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-19,BOG,MDE,7:14 a. m.,11:04 a. m.,"419.160,00",1 parada,2023-04-18,Latam
2023-04-19,BOG,MDE,11:56 a. m.,3:10 p. m.,"445.580,00",1 parada,2023-04-18,Latam
2023-04-19,BOG,MDE,6:55 p. m.,9:14 p. m.,"446.180,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,MDE,5:03 a. m.,6:02 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,6:17 a. m.,7:16 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,6:45 a. m.,7:44 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,8:03 a. m.,9:02 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,9:15 a. m.,10:14 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,10:00 a. m.,10:56 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,10:30 a. m.,11:26 a. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,11:30 a. m.,12:26 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,1:29 p. m.,2:25 p. m.,"283.740,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,3:00 p. m.,3:56 p. m.,"420.830,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,3:30 p. m.,4:26 p. m.,"346.570,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,4:15 p. m.,5:11 p. m.,"556.370,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,6:10 p. m.,7:06 p. m.,"556.370,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,7:05 p. m.,8:01 p. m.,"556.370,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,7:59 p. m.,8:55 p. m.,"692.750,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,9:05 p. m.,10:01 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,10:18 p. m.,11:14 p. m.,"257.560,00",Directo,2023-04-18,Latam
2023-04-21,BOG,MDE,8:42 a. m.,11:51 a. m.,"518.410,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,MDE,5:15 p. m.,7:48 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,MDE,6:59 p. m.,9:35 p. m.,"433.920,00",1 parada,2023-04-18,Latam
