Fecha;Departure;Arrive;Hora_Salida;Hora_LLegada;Price;Tipo
23/01/2023;CLO;BOG;8:07:00 p. m.;9:03:00 p. m.;266130;Directo
23/01/2023;CLO;BOG;9:19:00 p. m.;10:15:00 p. m.;266130;Directo
24/01/2023;CLO;BOG;5:16:00 a. m.;6:15:00 a. m.;223290;Directo
24/01/2023;CLO;BOG;5:45:00 a. m.;6:44:00 a. m.;223290;Directo
24/01/2023;CLO;BOG;7:45:00 a. m.;8:44:00 a. m.;223290;Directo
24/01/2023;CLO;BOG;9:20:00 a. m.;10:19:00 a. m.;223290;Directo
24/01/2023;CLO;BOG;10:31:00 a. m.;11:27:00 a. m.;223290;Directo
24/01/2023;CLO;BOG;12:34:00 p. m.;1:30:00 p. m.;223290;Directo
24/01/2023;CLO;BOG;1:30:00 p. m.;2:26:00 p. m.;223290;Directo
24/01/2023;CLO;BOG;5:00:00 p. m.;5:56:00 p. m.;223290;Directo
24/01/2023;CLO;BOG;6:59:00 p. m.;7:55:00 p. m.;223290;Directo
24/01/2023;CLO;BOG;8:12:00 p. m.;9:08:00 p. m.;223290;Directo
24/01/2023;CLO;BOG;8:11:00 a. m.;10:18:00 a. m.;593140;1 parada
24/01/2023;CLO;BOG;8:11:00 a. m.;12:21:00 p. m.;839120;1 parada
24/01/2023;CLO;BOG;11:53:00 a. m.;4:52:00 p. m.;294570;1 parada
24/01/2023;CLO;BOG;3:40:00 p. m.;7:00:00 p. m.;294570;1 parada
24/01/2023;CLO;BOG;3:40:00 p. m.;9:01:00 p. m.;465340;1 parada
24/01/2023;CLO;BOG;7:40:00 p. m.;11:30:00 p. m.;294570;1 parada
25/01/2023;CLO;BOG;5:30:00 a. m.;6:29:00 a. m.;223290;Directo
25/01/2023;CLO;BOG;6:15:00 a. m.;7:14:00 a. m.;223290;Directo
25/01/2023;CLO;BOG;7:06:00 a. m.;8:05:00 a. m.;223290;Directo
25/01/2023;CLO;BOG;8:00:00 a. m.;8:59:00 a. m.;223290;Directo
25/01/2023;CLO;BOG;11:09:00 a. m.;12:05:00 p. m.;223290;Directo
25/01/2023;CLO;BOG;1:21:00 p. m.;2:17:00 p. m.;223290;Directo
25/01/2023;CLO;BOG;3:57:00 p. m.;4:53:00 p. m.;223290;Directo
25/01/2023;CLO;BOG;5:20:00 p. m.;6:16:00 p. m.;266130;Directo
25/01/2023;CLO;BOG;6:28:00 p. m.;7:24:00 p. m.;223290;Directo
25/01/2023;CLO;BOG;9:04:00 p. m.;10:00:00 p. m.;223290;Directo
25/01/2023;CLO;BOG;9:49:00 p. m.;10:45:00 p. m.;223290;Directo
25/01/2023;CLO;BOG;7:33:00 a. m.;12:46:00 p. m.;465340;1 parada
25/01/2023;CLO;BOG;7:33:00 a. m.;1:41:00 p. m.;465340;1 parada
25/01/2023;CLO;BOG;11:38:00 a. m.;1:41:00 p. m.;294570;1 parada
25/01/2023;CLO;BOG;11:38:00 a. m.;3:05:00 p. m.;294570;1 parada
25/01/2023;CLO;BOG;11:38:00 a. m.;3:58:00 p. m.;294570;1 parada
25/01/2023;CLO;BOG;4:14:00 p. m.;7:13:00 p. m.;745700;1 parada
25/01/2023;CLO;BOG;4:14:00 p. m.;9:00:00 p. m.;1824550;1 parada
25/01/2023;CLO;BOG;4:14:00 p. m.;10:34:00 p. m.;294570;1 parada
25/01/2023;CLO;BOG;7:46:00 p. m.;10:34:00 p. m.;294570;1 parada
26/01/2023;CLO;BOG;5:16:00 a. m.;6:15:00 a. m.;266130;Directo
26/01/2023;CLO;BOG;5:43:00 a. m.;6:42:00 a. m.;266130;Directo
26/01/2023;CLO;BOG;6:46:00 a. m.;7:45:00 a. m.;266130;Directo
26/01/2023;CLO;BOG;7:59:00 a. m.;8:58:00 a. m.;266130;Directo
26/01/2023;CLO;BOG;9:13:00 a. m.;10:12:00 a. m.;266130;Directo
26/01/2023;CLO;BOG;12:49:00 p. m.;1:45:00 p. m.;266130;Directo
26/01/2023;CLO;BOG;1:29:00 p. m.;2:25:00 p. m.;266130;Directo
26/01/2023;CLO;BOG;4:31:00 p. m.;5:27:00 p. m.;273980;Directo
26/01/2023;CLO;BOG;6:31:00 p. m.;7:27:00 p. m.;266130;Directo
26/01/2023;CLO;BOG;8:14:00 p. m.;9:10:00 p. m.;266130;Directo
26/01/2023;CLO;BOG;10:19:00 p. m.;11:15:00 p. m.;266130;Directo
26/01/2023;CLO;BOG;7:27:00 a. m.;9:44:00 a. m.;294570;1 parada
26/01/2023;CLO;BOG;7:27:00 a. m.;1:15:00 p. m.;294570;1 parada
26/01/2023;CLO;BOG;10:10:00 a. m.;1:15:00 p. m.;294570;1 parada
26/01/2023;CLO;BOG;10:10:00 a. m.;2:26:00 p. m.;294570;1 parada
26/01/2023;CLO;BOG;10:10:00 a. m.;3:29:00 p. m.;294570;1 parada
26/01/2023;CLO;BOG;1:35:00 p. m.;4:59:00 p. m.;294570;1 parada
26/01/2023;CLO;BOG;1:35:00 p. m.;6:33:00 p. m.;1824550;1 parada
26/01/2023;CLO;BOG;7:08:00 p. m.;9:35:00 p. m.;2043630;1 parada
26/01/2023;CLO;BOG;7:08:00 p. m.;10:50:00 p. m.;678700;1 parada
28/01/2023;CLO;BOG;5:16:00 a. m.;6:15:00 a. m.;223290;Directo
28/01/2023;CLO;BOG;6:00:00 a. m.;6:59:00 a. m.;223290;Directo
28/01/2023;CLO;BOG;7:46:00 a. m.;8:45:00 a. m.;223290;Directo
28/01/2023;CLO;BOG;9:53:00 a. m.;10:52:00 a. m.;266130;Directo
28/01/2023;CLO;BOG;12:29:00 p. m.;1:25:00 p. m.;223290;Directo
28/01/2023;CLO;BOG;2:18:00 p. m.;3:14:00 p. m.;266130;Directo
28/01/2023;CLO;BOG;3:49:00 p. m.;4:45:00 p. m.;223290;Directo
28/01/2023;CLO;BOG;4:51:00 p. m.;5:47:00 p. m.;223290;Directo
28/01/2023;CLO;BOG;7:34:00 p. m.;8:30:00 p. m.;223290;Directo
28/01/2023;CLO;BOG;8:19:00 p. m.;9:15:00 p. m.;223290;Directo
28/01/2023;CLO;BOG;10:49:00 p. m.;11:45:00 p. m.;223290;Directo
28/01/2023;CLO;BOG;7:03:00 a. m.;9:14:00 a. m.;294570;1 parada
28/01/2023;CLO;BOG;7:03:00 a. m.;9:44:00 a. m.;294570;1 parada
28/01/2023;CLO;BOG;10:51:00 a. m.;2:45:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;10:51:00 a. m.;3:59:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;12:28:00 p. m.;2:45:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;12:28:00 p. m.;3:59:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;12:28:00 p. m.;6:16:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;5:50:00 p. m.;7:59:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;5:50:00 p. m.;9:01:00 p. m.;294570;1 parada
28/01/2023;CLO;BOG;5:50:00 p. m.;9:46:00 p. m.;294570;1 parada
29/01/2023;CLO;BOG;5:29:00 a. m.;6:28:00 a. m.;266130;Directo
29/01/2023;CLO;BOG;7:51:00 a. m.;8:50:00 a. m.;266130;Directo
29/01/2023;CLO;BOG;9:36:00 a. m.;10:35:00 a. m.;266130;Directo
29/01/2023;CLO;BOG;10:18:00 a. m.;11:14:00 a. m.;266130;Directo
29/01/2023;CLO;BOG;1:19:00 p. m.;2:15:00 p. m.;266130;Directo
29/01/2023;CLO;BOG;4:00:00 p. m.;4:56:00 p. m.;266130;Directo
29/01/2023;CLO;BOG;5:28:00 p. m.;6:24:00 p. m.;266130;Directo
29/01/2023;CLO;BOG;6:31:00 p. m.;7:27:00 p. m.;266130;Directo
29/01/2023;CLO;BOG;8:04:00 p. m.;9:00:00 p. m.;266130;Directo
29/01/2023;CLO;BOG;9:48:00 p. m.;10:44:00 p. m.;266130;Directo
29/01/2023;CLO;BOG;10:07:00 a. m.;12:29:00 p. m.;398100;1 parada
29/01/2023;CLO;BOG;10:07:00 a. m.;1:35:00 p. m.;398100;1 parada
29/01/2023;CLO;BOG;10:07:00 a. m.;3:13:00 p. m.;398100;1 parada
29/01/2023;CLO;BOG;10:07:00 a. m.;4:10:00 p. m.;398100;1 parada
29/01/2023;CLO;BOG;1:31:00 p. m.;4:10:00 p. m.;398100;1 parada
29/01/2023;CLO;BOG;1:31:00 p. m.;5:14:00 p. m.;839120;1 parada
29/01/2023;CLO;BOG;4:48:00 p. m.;9:25:00 p. m.;505320;1 parada
30/01/2023;CLO;BOG;5:10:00 a. m.;6:09:00 a. m.;223290;Directo
30/01/2023;CLO;BOG;5:45:00 a. m.;6:44:00 a. m.;266130;Directo
30/01/2023;CLO;BOG;6:54:00 a. m.;7:53:00 a. m.;266130;Directo
30/01/2023;CLO;BOG;8:31:00 a. m.;9:30:00 a. m.;223290;Directo
30/01/2023;CLO;BOG;10:16:00 a. m.;11:12:00 a. m.;223290;Directo
30/01/2023;CLO;BOG;12:03:00 p. m.;12:59:00 p. m.;223290;Directo
30/01/2023;CLO;BOG;2:06:00 p. m.;3:02:00 p. m.;223290;Directo
30/01/2023;CLO;BOG;4:26:00 p. m.;5:22:00 p. m.;223290;Directo
30/01/2023;CLO;BOG;5:20:00 p. m.;6:16:00 p. m.;223290;Directo
30/01/2023;CLO;BOG;8:07:00 p. m.;9:03:00 p. m.;223290;Directo
30/01/2023;CLO;BOG;9:19:00 p. m.;10:15:00 p. m.;223290;Directo
