Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo
2023-04-06,BOG,CLO,5:00 a. m.,6:07 a. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,6:20 a. m.,7:27 a. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,8:30 a. m.,9:37 a. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,10:17 a. m.,11:21 a. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,11:00 a. m.,12:04 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,11:43 a. m.,12:47 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,5:14 p. m.,6:17 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,5:41 p. m.,6:45 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,6:15 p. m.,7:19 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,6:45 p. m.,7:49 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,9:14 p. m.,10:18 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,10:04 p. m.,11:08 p. m.,"253.040,00",Directo
2023-04-06,BOG,CLO,5:00 a. m.,8:55 a. m.,"850.420,00",1 parada
2023-04-06,BOG,CLO,5:30 a. m.,8:55 a. m.,"585.170,00",1 parada
2023-04-06,BOG,CLO,6:03 a. m.,8:55 a. m.,"585.170,00",1 parada
2023-04-06,BOG,CLO,6:03 a. m.,12:37 p. m.,"725.470,00",1 parada
2023-04-06,BOG,CLO,8:00 a. m.,12:37 p. m.,"782.710,00",1 parada
2023-04-06,BOG,CLO,8:39 a. m.,12:37 p. m.,"652.520,00",1 parada
2023-04-06,BOG,CLO,9:35 a. m.,12:37 p. m.,"782.710,00",1 parada
2023-04-06,BOG,CLO,10:14 a. m.,12:37 p. m.,"850.420,00",1 parada
2023-04-06,BOG,CLO,10:14 a. m.,4:49 p. m.,"850.420,00",1 parada
2023-04-06,BOG,CLO,10:29 a. m.,3:44 p. m.,"2.127.530,00",1 parada
