Fecha;Departure;Arrive;Hora_Salida;Hora_LLegada;Price;Tipo
20/02/2023;BOG;MDE;12:45:00 p. m.;1:51:00 p. m.;276600;Directo
20/02/2023;BOG;MDE;2:39:00 p. m.;3:45:00 p. m.;359660;Directo
20/02/2023;BOG;MDE;5:14:00 p. m.;6:20:00 p. m.;359660;Directo
20/02/2023;BOG;MDE;6:10:00 p. m.;7:16:00 p. m.;332530;Directo
20/02/2023;BOG;MDE;8:15:00 p. m.;9:21:00 p. m.;306350;Directo
20/02/2023;BOG;MDE;11:14:00 p. m.;6:20:00 p. m.;276600;Directo
20/02/2023;BOG;MDE;1:14:00 p. m.;5:14:00 p. m.;483660;1 parada
20/02/2023;BOG;MDE;3:29:00 p. m.;9:47:00 p. m.;486280;1 parada
20/02/2023;BOG;MDE;4:01:00 p. m.;10:29:00 p. m.;457240;1 parada
20/02/2023;BOG;MDE;5:29:00 p. m.;9:06:00 p. m.;514010;1 parada
20/02/2023;BOG;MDE;5:57:00 p. m.;10:29:00 p. m.;483660;1 parada
20/02/2023;BOG;MDE;6:48:00 p. m.;9:47:00 p. m.;486280;1 parada
20/02/2023;MDE;BOG;12:31:00 p. m.;1:30:00 p. m.;360360;Directo
20/02/2023;MDE;BOG;1:41:00 p. m.;2:40:00 p. m.;390110;Directo
20/02/2023;MDE;BOG;4:12:00 p. m.;5:03:00 p. m.;485080;Directo
20/02/2023;MDE;BOG;6:15:00 p. m.;7:14:00 p. m.;576110;Directo
20/02/2023;MDE;BOG;7:05:00 p. m.;7:56:00 p. m.;576110;Directo
20/02/2023;MDE;BOG;9:03:00 p. m.;10:02:00 p. m.;576110;Directo
20/02/2023;MDE;BOG;1:05:00 p. m.;7:01:00 p. m.;479010;1 parada
20/02/2023;MDE;BOG;2:47:00 p. m.;5:22:00 p. m.;557190;1 parada
20/02/2023;MDE;BOG;2:47:00 p. m.;6:16:00 p. m.;557190;1 parada
20/02/2023;MDE;BOG;2:47:00 p. m.;9:03:00 p. m.;602290;1 parada
12/05/2023;MDE;BOG;4:04:00 a. m.;5:00:00 a. m.;155210;Directo
12/05/2023;MDE;BOG;4:34:00 a. m.;5:29:00 a. m.;155210;Directo
12/05/2023;MDE;BOG;5:33:00 a. m.;6:29:00 a. m.;155210;Directo
12/05/2023;MDE;BOG;6:19:00 a. m.;7:15:00 a. m.;258260;Directo
12/05/2023;MDE;BOG;6:50:00 a. m.;7:46:00 a. m.;195190;Directo
12/05/2023;MDE;BOG;6:52:00 a. m.;7:48:00 a. m.;195190;Directo
12/05/2023;MDE;BOG;7:33:00 a. m.;8:29:00 a. m.;421530;Directo
12/05/2023;MDE;BOG;8:03:00 a. m.;8:59:00 a. m.;258260;Directo
12/05/2023;MDE;BOG;9:55:00 a. m.;10:51:00 a. m.;347270;Directo
12/05/2023;MDE;BOG;12:06:00 p. m.;1:02:00 p. m.;258260;Directo
12/05/2023;MDE;BOG;3:16:00 p. m.;4:12:00 p. m.;195190;Directo
12/05/2023;MDE;BOG;4:33:00 p. m.;5:29:00 p. m.;258260;Directo
12/05/2023;MDE;BOG;4:38:00 p. m.;5:34:00 p. m.;195190;Directo
12/05/2023;MDE;BOG;7:34:00 p. m.;8:30:00 p. m.;435810;Directo
12/05/2023;MDE;BOG;9:48:00 p. m.;10:44:00 p. m.;258260;Directo
12/05/2023;MDE;BOG;10:33:00 p. m.;11:29:00 p. m.;195190;Directo
12/05/2023;MDE;BOG;10:38:00 p. m.;11:34:00 p. m.;155210;Directo
12/05/2023;MDE;BOG;8:31:00 a. m.;2:32:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;8:31:00 a. m.;2:59:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;10:35:00 a. m.;2:02:00 p. m.;325140;1 parada
12/05/2023;MDE;BOG;12:36:00 p. m.;5:12:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;12:36:00 p. m.;6:00:00 p. m.;476870;1 parada
12/05/2023;MDE;BOG;1:29:00 p. m.;6:32:00 p. m.;325140;1 parada
12/05/2023;MDE;BOG;5:50:00 p. m.;9:15:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;5:50:00 p. m.;10:00:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;5:50:00 p. m.;10:46:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;6:50:00 p. m.;11:00:00 p. m.;498170;1 parada
12/05/2023;MDE;BOG;7:10:00 p. m.;10:11:00 p. m.;325140;1 parada
12/05/2023;MDE;BOG;8:07:00 p. m.;10:46:00 p. m.;251000;1 parada
12/05/2023;MDE;BOG;8:12:00 p. m.;10:43:00 p. m.;283010;1 parada
6/05/2023;MDE;BOG;5:45:00 a. m.;6:41:00 a. m.;284440;Directo
6/05/2023;MDE;BOG;6:19:00 a. m.;7:15:00 a. m.;258260;Directo
6/05/2023;MDE;BOG;6:49:00 a. m.;7:45:00 a. m.;258260;Directo
6/05/2023;MDE;BOG;7:01:00 a. m.;7:57:00 a. m.;258260;Directo
6/05/2023;MDE;BOG;7:19:00 a. m.;8:15:00 a. m.;258260;Directo
6/05/2023;MDE;BOG;8:03:00 a. m.;8:59:00 a. m.;284440;Directo
6/05/2023;MDE;BOG;9:33:00 a. m.;10:29:00 a. m.;284440;Directo
6/05/2023;MDE;BOG;10:53:00 a. m.;11:49:00 a. m.;284440;Directo
6/05/2023;MDE;BOG;1:48:00 p. m.;2:44:00 p. m.;258260;Directo
6/05/2023;MDE;BOG;4:04:00 p. m.;5:00:00 p. m.;258260;Directo
6/05/2023;MDE;BOG;6:04:00 p. m.;7:00:00 p. m.;258260;Directo
6/05/2023;MDE;BOG;8:34:00 p. m.;9:30:00 p. m.;258260;Directo
6/05/2023;MDE;BOG;9:04:00 p. m.;10:00:00 p. m.;155210;Directo
6/05/2023;MDE;BOG;9:30:00 p. m.;10:26:00 p. m.;195190;Directo
6/05/2023;MDE;BOG;10:27:00 p. m.;11:23:00 p. m.;155210;Directo
6/05/2023;MDE;BOG;11:03:00 p. m.;11:59:00 p. m.;155210;Directo
6/05/2023;MDE;BOG;5:45:00 a. m.;8:21:00 a. m.;330970;1 parada
6/05/2023;MDE;BOG;5:45:00 a. m.;9:29:00 a. m.;419860;1 parada
6/05/2023;MDE;BOG;5:45:00 a. m.;11:14:00 a. m.;564210;1 parada
6/05/2023;MDE;BOG;7:50:00 a. m.;11:14:00 a. m.;564210;1 parada
6/05/2023;MDE;BOG;10:17:00 a. m.;12:54:00 p. m.;459370;1 parada
6/05/2023;MDE;BOG;11:32:00 a. m.;5:16:00 p. m.;251000;1 parada
6/05/2023;MDE;BOG;11:32:00 a. m.;6:29:00 p. m.;330970;1 parada
6/05/2023;MDE;BOG;3:44:00 p. m.;6:29:00 p. m.;330970;1 parada
6/05/2023;MDE;BOG;3:44:00 p. m.;7:49:00 p. m.;251000;1 parada
6/05/2023;MDE;BOG;3:44:00 p. m.;8:25:00 p. m.;251000;1 parada
