Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo,CaptureDate,Aerolinea
2023-04-21,BOG,CLO,5:01 a. m.,6:08 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,5:30 a. m.,6:37 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,6:00 a. m.,7:07 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,7:06 a. m.,8:13 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,8:42 a. m.,9:49 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,9:45 a. m.,10:52 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,11:43 a. m.,12:47 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,12:51 p. m.,1:55 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,2:55 p. m.,3:59 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,4:01 p. m.,5:05 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,5:15 p. m.,6:19 p. m.,"279.820,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,6:50 p. m.,7:54 p. m.,"776.880,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,9:48 p. m.,10:52 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,11:17 p. m.,"12:21 a. m.
+1","253.040,00",Directo,2023-04-18,Latam
2023-04-21,BOG,CLO,5:03 a. m.,10:25 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,CLO,6:17 a. m.,10:25 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,CLO,6:45 a. m.,10:25 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,CLO,8:03 a. m.,2:45 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-21,BOG,CLO,9:15 a. m.,2:45 p. m.,"423.690,00",1 parada,2023-04-18,Latam
