Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Vuelos,Tarifa,Price,Tipo
2023-01-23,CLO,BOG,7:32 P.M.,11:30 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,4:58 A.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,6:43 A.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,8:27 A.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,9:23 A.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,11:46 A.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,1:46 P.M.,,Tarifa: D,$299.077 COP,Con conexión
2023-01-23,CLO,BOG,7:32 P.M.,3:22 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-24,CLO,BOG,3:38 P.M.,4:48 P.M.,VH5794,Tarifa: B,$223.290 COP,Directo
2023-01-24,CLO,BOG,6:54 P.M.,11:30 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-24,CLO,BOG,6:54 P.M.,4:59 A.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-24,CLO,BOG,6:54 P.M.,7:10 A.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-24,CLO,BOG,6:54 P.M.,12:00 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-24,CLO,BOG,6:54 P.M.,5:33 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-25,CLO,BOG,2:09 P.M.,3:14 P.M.,VH5796,Tarifa: B,$223.290 COP,Directo
2023-01-25,CLO,BOG,5:39 A.M.,12:00 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,5:33 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,8:02 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,8:32 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,10:00 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,5:39 A.M.,5:33 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,11:30 P.M.,,Tarifa: B,$270.366 COP,Con conexión
2023-01-25,CLO,BOG,5:39 A.M.,8:02 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-25,CLO,BOG,5:39 A.M.,8:32 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-25,CLO,BOG,5:39 A.M.,10:00 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-25,CLO,BOG,5:39 A.M.,11:30 P.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,7:01 A.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-25,CLO,BOG,11:02 A.M.,7:48 A.M.,,Tarifa: B,$290.866 COP,Con conexión
2023-01-26,CLO,BOG,12:01 P.M.,1:10 P.M.,VH5794,Tarifa: E,$233.862 COP,Directo
2023-01-26,CLO,BOG,6:03 A.M.,12:11 P.M.,,Tarifa: B,$270.366 COP,Con conexión
